Data Recorder CSV-File Format
PC Time (yyyy:mm:dd/h m s ms);2020/2/5 13h45m47s
Last Sample (d h m s ms);2h4m39s796ms
Sampling Rate (h m s ms);20ms
Minimum Sampling Time (h m s ms);0ms
Average Sampling Time (h m s ms);31ms
Maximum Sampling Time (h m s ms);63ms
Channel(s);8
Description;TYPE;Color;Width;0-Axis; Lowest Value; Highest Value; Address
h1_line_speed;REAL;0;0;5;0,;286,9656372;DLD0
h1_product_len;REAL;255;0;30;14,8419323;591,5266724;DLD2
h1_tension_1_avg;REAL;65280;0;55;526,6845093;561,9533691;DDT1038
h1_on_baord_ten_raw;REAL;16711680;0;80;0,5568000078;0,6047999859;DDT1104
h1_wrap_ten;REAL;8421504;0;105;-4,879947186;0,4807486832;DDT1130
h1_std_dev;REAL;8750591;0;130;1,606152207e-002;0,3629674613;DDT1132
h1_tape_ten_vdc;REAL;26367;0;155;0,;0,;DDT1080
h1_flyer_rpm;REAL;32768;0;180;0,;459,1450195;DDT1066
Number of Samples;239400

Time;h1_line_speed;h1_product_len;h1_tension_1_avg;h1_on_baord_ten_raw;h1_wrap_ten;h1_std_dev;h1_tape_ten_vdc;h1_flyer_rpm;
0:0:1:718;57,52884674;14,86903286;551,62677;0,5719999671;-3,038123608;0,200547114;0,;92,04615784;
0:0:1:750;57,52884674;14,86903286;551,7280884;0,5712000132;-3,041324615;0,2014513612;0,;92,04615784;
0:0:1:780;57,52884674;14,86903286;551,739563;0,5703999996;-3,045279026;0,202549994;0,;92,04615784;
0:0:1:812;57,52884674;14,87070847;551,8149414;0,5712000132;-3,049233437;0,2031302154;0,;92,04615784;
0:0:1:843;57,52884674;14,87070847;551,9751587;0,5712000132;-3,052999496;0,2038165182;0,;92,04615784;
0:0:1:875;57,52884674;14,87070847;551,9252319;0,5719999671;-3,05582428;0,2038064152;0,;92,04615784;
0:0:1:905;57,52884674;14,8721323;551,9031982;0,5719999671;-3,058084011;0,2036308646;0,;92,04615784;
0:0:1:937;57,52884674;14,8721323;552,0675659;0,5727999806;-3,060343504;0,20316872;0,;92,04615784;
0:0:1:968;57,52884674;14,8721323;552,2194824;0,5735999942;-3,060720205;0,2031326592;0,;92,04615784;
0:0:2:0;57,52884674;14,87380791;552,3748169;0,5744000077;-3,060343504;0,2033431679;0,;92,04615784;
0:0:2:31;57,52884674;14,87380791;552,5305786;0,5751999617;-3,058460712;0,2043816;0,;92,04615784;
0:0:2:61;57,52884674;14,87380791;552,5930176;0,5751999617;-3,055259466;0,2057508677;0,;92,04615784;
0:0:2:92;57,52884674;14,87550449;552,5688477;0,5751999617;-3,052246332;0,2066233307;0,;92,04615784;
0:0:2:140;57,52884674;14,87550449;552,5528564;0,5751999617;-3,048480511;0,2067914903;0,;92,04615784;
0:0:2:170;57,52884674;14,87550449;552,569519;0,5751999617;-3,043961287;0,2058713585;0,;92,04615784;
0:0:2:186;57,52884674;14,87692833;552,428772;0,5744000077;-3,038312197;0,2045757025;0,;92,04615784;
0:0:2:217;57,52884674;14,87692833;552,3010864;0,5744000077;-3,034358025;0,2023911774;0,;92,04615784;
0:0:2:250;57,52884674;14,87692833;552,2794189;0,5735999942;-3,030968428;0,2006648034;0,;92,04615784;
0:0:2:281;57,52884674;14,87860394;552,2418213;0,5727999806;-3,028143883;0,1991710067;0,;92,04615784;
0:0:2:311;57,52884674;14,87860394;552,2635498;0,5727999806;-3,027013779;0,198380515;0,;92,04615784;
0:0:2:343;57,52884674;14,87860394;552,2978516;0,5719999671;-3,026260138;0,1979674548;0,;92,04615784;
0:0:2:375;57,52884674;14,88027954;552,2696533;0,5712000132;-3,02739048;0,1984962076;0,;92,04615784;
0:0:2:406;57,52884674;14,88027954;552,1885986;0,5712000132;-3,029650211;0,199708119;0,;92,04615784;
0:0:2:436;57,52884674;14,88027954;552,0568848;0,5712000132;-3,032286644;0,2007274926;0,;92,04615784;
0:0:2:468;57,52884674;14,88172436;551,8222046;0,5712000132;-3,036052704;0,201738894;0,;92,04615784;
0:0:2:500;57,52884674;14,88172436;551,6209717;0,5719999671;-3,038688898;0,2021393329;0,;92,04615784;
0:0:2:531;57,52884674;14,88172436;551,3990479;0,5719999671;-3,04057169;0,2023282498;0,;92,04615784;
0:0:2:561;57,52884674;14,88339996;551,1403809;0,5727999806;-3,04245472;0,2024999708;0,;92,04615784;
0:0:2:593;57,52884674;14,88339996;550,8497314;0,5735999942;-3,043207645;0,2024939209;0,;92,04615784;
0:0:2:625;57,52884674;14,88339996;550,6196899;0,5744000077;-3,042642832;0,2026738375;0,;92,04615784;
